Age,BusinessTravel,Department,DistanceFromHome,Education,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
22,Travel_Rarely,Sales,0,Phd,Male,74.88821038880641,6,2,2,Single,6816.572549300514,No,8,3,7,13,2,3,0
46,Travel_Rarely,Sales,0,Masters,Male,64.95935542427088,1,1,6,Married,5818.402000941397,No,38,5,1,3,3,13,0
47,Travel_Frequently,Sales,0,Undergraduate,Female,106.07346500765982,2,4,3,Married,4740.545573189903,No,36,1,10,6,6,11,1
30,Travel_Rarely,Sales,0,Undergraduate,Male,66.31595317490454,1,1,2,Single,908.5093925732713,No,5,3,13,0,12,8,1
36,Travel_Rarely,Research & Development,0,High School,Female,65.74658946391698,7,3,2,Single,8847.22400573669,No,39,4,7,12,7,9,1
22,Travel_Rarely,Sales,0,Undergraduate,Male,63.73239390698632,6,0,1,Single,8013.998006903696,No,32,1,2,7,1,4,0
43,Travel_Rarely,Sales,0,Phd,Female,79.11539217862445,0,3,3,Single,7928.796821856791,No,20,4,5,12,13,14,1
52,Travel_Frequently,Research & Development,0,Phd,Male,67.90267305387404,0,2,1,Single,2850.200612574463,No,10,4,0,3,0,4,0
37,Travel_Rarely,Sales,0,Masters,Male,70.04310400550825,0,1,1,Single,3703.130331231216,No,7,4,10,2,6,6,1
37,Travel_Frequently,Sales,0,Masters,Male,64.67557516749153,0,2,3,Married,7617.634760216928,No,31,1,17,14,13,6,1
40,Travel_Rarely,Research & Development,0,Undergraduate,Female,68.42712709341131,0,3,2,Divorced,7737.484943650766,No,17,5,9,3,0,6,0
40,Travel_Rarely,Sales,3,Undergraduate,Female,72.60644841225152,1,2,3,Married,4091.441724883787,Yes,1,2,3,9,8,10,1
22,Travel_Rarely,Sales,0,Masters,Male,84.59403532623142,1,0,1,Divorced,3287.212798095243,Yes,13,0,0,8,11,14,1
40,Travel_Rarely,Research & Development,0,High School,Female,73.65986102738684,1,1,1,Divorced,4529.872439480468,No,27,1,14,8,0,7,0
35,Travel_Rarely,Human Resources,0,High School,Female,54.648104246182456,2,0,1,Single,5442.502425217497,No,6,4,2,5,4,0,1
33,Travel_Rarely,Sales,0,Undergraduate,Female,63.518237171908915,3,2,2,Single,6095.566109748597,No,30,0,6,1,1,14,0
35,Travel_Rarely,Sales,0,High School,Male,79.6259643955172,1,0,5,Married,4526.483849634227,No,28,4,0,13,0,0,0
29,Travel_Rarely,Research & Development,0,High School,Male,61.95843824422409,4,2,5,Married,4206.9413265833855,No,2,2,9,3,6,14,0
27,Travel_Rarely,Research & Development,0,High School,Male,58.66839815110463,2,1,4,Single,3543.1209702991273,No,21,2,1,0,3,3,0
20,Travel_Rarely,Sales,0,High School,Female,68.80606940504286,3,2,3,Divorced,5048.919040815969,No,24,3,0,1,12,7,1
50,Travel_Rarely,Sales,0,Masters,Male,49.064567286114325,3,3,2,Divorced,5672.786612210111,Yes,16,4,9,0,14,4,1
41,Travel_Rarely,Research & Development,1,Phd,Male,53.55932104233172,3,6,1,Married,3425.612605517057,No,14,1,13,7,6,7,1
35,Travel_Rarely,Sales,0,Undergraduate,Male,91.62536612022949,3,3,2,Divorced,2992.7770276317933,No,26,3,3,8,13,3,1
61,Travel_Rarely,Sales,0,Undergraduate,Female,75.28298509268747,2,4,3,Single,3320.136408321959,No,2,2,7,1,7,9,1
43,Travel_Frequently,Research & Development,0,Undergraduate,Female,78.65270228052654,2,2,6,Divorced,2003.8128727090357,No,30,3,0,14,4,4,1
50,Travel_Frequently,Research & Development,0,Masters,Female,41.4978197592399,3,2,4,Divorced,3272.8556309386368,Yes,11,2,1,8,14,9,1
36,Travel_Rarely,Research & Development,0,Phd,Female,44.00781998081571,3,0,2,Single,3920.1296479120056,No,4,3,0,5,6,12,1
50,Travel_Frequently,Sales,0,Undergraduate,Male,53.95289638547525,0,0,2,Divorced,4835.893070731811,No,11,2,14,5,7,2,1
25,Travel_Rarely,Human Resources,0,Undergraduate,Male,62.50995119203567,2,0,6,Single,6015.624293045448,No,24,5,2,8,1,0,0
40,Travel_Rarely,Research & Development,1,Undergraduate,Male,65.74899819983628,1,3,6,Married,8988.179173087501,No,7,3,17,7,3,2,0
28,Travel_Frequently,Research & Development,0,Undergraduate,Male,58.94342725183335,0,0,3,Married,2056.8594684499717,Yes,33,2,18,10,0,14,1
46,Travel_Rarely,Sales,0,High School,Male,92.38068080261735,3,1,3,Married,7322.811320619505,Yes,7,1,18,7,13,3,1
30,Travel_Rarely,Sales,0,Masters,Male,74.4164623974311,0,3,2,Divorced,1006.8444953645921,No,36,3,12,10,7,5,1
54,Travel_Rarely,Research & Development,0,Undergraduate,Male,54.46589970068553,3,4,1,Divorced,2077.4711743026423,No,22,3,0,10,12,4,1
29,Travel_Rarely,Sales,0,Undergraduate,Male,49.011722083429326,1,1,1,Married,3812.726149247676,No,32,3,10,13,6,0,1
49,Travel_Rarely,Sales,0,Undergraduate,Female,63.9726536622981,3,4,4,Single,3896.2723060973185,Yes,34,2,3,9,5,10,1
33,Travel_Rarely,Research & Development,0,Undergraduate,Male,87.76050396711561,1,1,2,Single,6856.09024354543,No,35,2,12,10,11,10,1
37,Travel_Frequently,Research & Development,0,Undergraduate,Male,63.47372734041109,0,5,1,Single,4154.481601793784,No,29,1,4,8,4,4,1
36,Travel_Rarely,Human Resources,0,Undergraduate,Male,58.61937341131027,0,1,6,Divorced,6775.903625615665,Yes,15,2,5,1,9,14,1
43,Travel_Rarely,Research & Development,0,Undergraduate,Male,73.53327576606192,3,2,4,Single,5397.928863847905,No,22,2,16,2,5,11,0
50,Travel_Rarely,Sales,0,Masters,Male,47.68643089575988,2,2,2,Single,4491.874864328113,No,16,1,0,12,1,2,0
32,Travel_Rarely,Sales,1,Undergraduate,Female,60.132435308081924,4,0,3,Married,2307.5189000671066,Yes,3,5,16,13,9,10,1
28,Travel_Rarely,Sales,0,High School,Female,66.58073397591981,1,0,2,Married,6410.065800511914,Yes,19,4,18,4,3,10,1
42,Non-Travel,Research & Development,0,High School,Female,60.203896615292436,3,4,4,Married,8818.605568131006,No,26,3,12,6,12,3,0
34,Travel_Rarely,Research & Development,0,High School,Male,61.92180464261728,1,2,0,Single,2999.6946977338825,No,27,1,16,11,9,2,1
