Age,BusinessTravel,Department,DistanceFromHome,Education,Gender,JobInvolvement,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
24,Travel_Rarely,Research & Development,0,Undergraduate,Female,0,3,Single,4815.128351978341,1,0,0,16,0,1,14,0
45,Travel_Frequently,Research & Development,0,Undergraduate,Male,2,1,Married,6370.434369587408,0,29,3,7,2,2,1,0
38,Travel_Rarely,Sales,0,Phd,Male,2,4,Single,767.3813993666063,0,35,4,4,0,5,8,0
20,Travel_Rarely,Sales,0,Undergraduate,Male,3,4,Married,3307.1474538624184,0,38,1,7,10,14,11,0
29,Travel_Rarely,Research & Development,0,Undergraduate,Female,3,2,Divorced,3111.5060408378613,0,5,2,9,8,5,12,0
52,Travel_Rarely,Sales,1,High School,Male,1,2,Divorced,1982.9067496029088,0,24,2,13,12,11,8,1
11,Travel_Frequently,Sales,0,Undergraduate,Female,5,4,Single,2182.3581121574703,0,26,3,14,1,10,0,1
31,Non-Travel,Sales,0,Masters,Male,1,2,Married,2867.2165850664464,0,25,2,7,10,1,9,0
48,Travel_Frequently,Sales,0,Undergraduate,Male,2,1,Divorced,4628.902082909641,0,2,4,3,11,7,11,1
26,Travel_Rarely,Research & Development,0,High School,Male,2,2,Single,3140.5920931868454,0,6,5,15,3,1,5,0
28,Travel_Rarely,Research & Development,0,Undergraduate,Female,2,3,Married,2998.012126189583,0,7,4,0,2,7,1,1
34,Non-Travel,Research & Development,0,Masters,Female,2,5,Divorced,5181.5193081411635,0,33,4,7,8,6,1,0
50,Travel_Frequently,Human Resources,0,Undergraduate,Female,2,6,Divorced,8179.931127864615,0,26,2,16,2,13,9,0
29,Travel_Rarely,Research & Development,0,Undergraduate,Female,3,4,Single,996.5486507481112,0,36,4,9,3,11,14,0
31,Travel_Rarely,Research & Development,0,Undergraduate,Male,1,4,Single,2639.458339654404,0,14,5,16,0,5,4,0
31,Travel_Frequently,Research & Development,0,Undergraduate,Female,2,4,Married,1990.794553820872,0,8,5,6,4,8,12,0
57,Travel_Frequently,Research & Development,0,Undergraduate,Male,5,4,Divorced,2115.4611394933195,0,2,3,2,1,13,6,1
57,Travel_Frequently,Research & Development,1,High School,Female,2,5,Divorced,4509.755507640806,0,31,2,10,7,1,4,0
45,Travel_Rarely,Research & Development,0,Masters,Female,1,4,Divorced,-2526.3421868106625,0,21,3,5,13,3,12,0
39,Travel_Rarely,Research & Development,1,Undergraduate,Female,1,4,Divorced,2976.2930281361996,0,26,4,7,4,7,1,0
42,Travel_Frequently,Human Resources,0,Undergraduate,Female,0,2,Single,2455.598771439449,0,8,1,16,3,3,10,0
50,Travel_Rarely,Human Resources,0,Masters,Female,2,2,Single,1233.7095538673382,0,5,1,8,5,8,12,0
26,Travel_Rarely,Research & Development,0,Phd,Male,3,2,Single,4101.108729188382,0,28,6,10,0,4,2,0
47,Non-Travel,Sales,0,Phd,Male,2,3,Married,685.824444569736,0,22,2,3,4,3,8,0
22,Travel_Rarely,Research & Development,0,High School,Male,3,2,Married,1921.1526436729357,1,17,3,15,2,14,8,0
29,Travel_Rarely,Research & Development,0,Phd,Female,0,2,Married,688.9406836032767,0,25,1,5,7,6,3,0
44,Travel_Frequently,Research & Development,0,Masters,Male,1,3,Married,1210.9338368492658,1,15,1,14,8,13,4,0
21,Non-Travel,Sales,1,Undergraduate,Male,2,3,Divorced,4013.470734472944,0,13,0,1,1,13,0,1
34,Travel_Frequently,Research & Development,0,Phd,Male,1,5,Single,4363.7913276565905,0,37,1,17,3,5,4,0
26,Non-Travel,Sales,2,Undergraduate,Male,1,4,Single,6729.99639008678,0,11,2,15,0,2,11,0
32,Travel_Rarely,Research & Development,0,Masters,Male,2,1,Married,3881.289207195212,0,20,4,10,7,4,8,0
7,Travel_Rarely,Sales,0,Undergraduate,Male,3,3,Divorced,-1159.7993253165723,0,28,2,3,12,11,2,1
17,Travel_Rarely,Research & Development,0,Undergraduate,Male,2,4,Married,-797.2585428740235,1,20,2,12,7,4,2,0
28,Travel_Frequently,Sales,0,Phd,Female,1,5,Married,779.0237383964113,1,22,3,14,12,9,14,0
44,Travel_Rarely,Research & Development,0,Undergraduate,Male,1,2,Divorced,3493.2879904185293,0,23,4,16,12,5,5,0
33,Travel_Rarely,Sales,0,Undergraduate,Male,5,3,Married,5459.660188167058,0,12,2,19,4,5,3,1
35,Travel_Rarely,Research & Development,0,Undergraduate,Male,3,3,Divorced,5689.055862519666,0,33,0,5,12,8,5,0
42,Travel_Rarely,Sales,0,Undergraduate,Male,1,3,Single,2780.3445899636076,0,10,2,12,12,0,3,0
26,Travel_Rarely,Research & Development,1,Masters,Female,1,3,Divorced,2945.730390260299,0,11,2,10,5,4,6,0
38,Travel_Rarely,Sales,2,Masters,Male,1,2,Married,6179.644229100957,1,22,3,1,8,0,8,1
27,Travel_Rarely,Sales,0,Undergraduate,Female,1,4,Married,1988.782051533381,0,1,3,11,7,7,5,0
18,Travel_Rarely,Sales,0,High School,Male,1,7,Divorced,4928.106412999213,0,19,2,10,7,14,8,0
31,Travel_Rarely,Research & Development,0,Masters,Male,3,2,Single,5093.472563377858,0,20,4,12,1,4,0,0
41,Travel_Rarely,Research & Development,0,Undergraduate,Female,4,5,Married,2104.846597338061,0,27,6,5,2,4,7,1
38,Travel_Frequently,Sales,0,Masters,Female,1,4,Single,2164.975754769244,0,32,1,11,4,0,13,0
35,Travel_Rarely,Sales,0,Undergraduate,Male,1,2,Single,5798.180217998657,0,27,1,6,2,10,14,1
59,Non-Travel,Research & Development,0,High School,Female,2,2,Single,2371.514124740312,0,26,3,3,4,9,1,0
39,Travel_Frequently,Research & Development,0,High School,Male,2,1,Single,2271.4997039842474,0,35,2,18,7,14,3,0
45,Travel_Rarely,Research & Development,0,Undergraduate,Male,2,2,Divorced,1974.293096177814,1,28,4,0,3,8,14,1
57,Travel_Rarely,Research & Development,0,Phd,Male,5,2,Divorced,2989.6454672799496,0,18,5,8,2,7,8,1
